BRANCH,FAMILY,SUB FAMILY,BEER NAME,BREWERY,ABV,IBU,REGION
ALE,GERMAN WHEAT AND RYE,WEIZENBOCK,Primus Weizenbock,Live Oak,8.30%,15,Texas
ALE,GERMAN WHEAT AND RYE,WEIZENBOCK,Moonglow Weizenbock,Victory,8.70%,23,Pennsylvania
ALE,GERMAN WHEAT AND RYE,WEIZENBOCK,Vitus,Weihenstephaner,7.70%,17,Germany
ALE,GERMAN WHEAT AND RYE,ROGGENBIER,Live Oak Roggenbier,Live Oak,4.80%,10,Texas
ALE,GERMAN WHEAT AND RYE,ROGGENBIER,Schlaegel Roggen Gold,Stiftsbrauerei Schlaegel,4.90%,15,Austria
ALE,GERMAN WHEAT AND RYE,ROGGENBIER,Paulaner Roggen,Paulaner,5.30%,15,Germany
ALE,ALE,BELGIAN ALE,Hitachino Nest White Ale,Kiuchi,5.50%,13,Japan
ALE,ALE,BELGIAN ALE,Palm Speciale,Brouwerij Palm,5.40%,18,Belgium
ALE,ALE,BELGIAN ALE,Domaine DuPage French Style Country Ale,Two Brothers,5.90%,24,Illinois
ALE,BELGIAN ALE,WITBIER,Hoegaarden Original White Ale,Brouwerij van Hoegaarden,4.90%,13,Belgium
ALE,BELGIAN ALE,WITBIER,Hitachino Nest White Ale,Kiuchi,5.50%,13,Japan
ALE,BELGIAN ALE,WITBIER,Double White,Southampton Publick House,6.70%,22,New York
ALE,BELGIAN ALE,BELGIAN PALE ALE,Leffe Blonde,Abbaye de Leffe S.A.,6.60%,25,Belgium
ALE,BELGIAN ALE,BELGIAN PALE ALE,A Little Crazy,Revolution,6.80%,22,Illinois
ALE,BELGIAN ALE,BELGIAN PALE ALE,Palm Speciale,Brouwerij Palm,5.40%,18,Belgium
ALE,PALE ALE,BELGIAN PALE ALE,Leffe Blonde,Abbaye de Leffe S.A.,6.60%,25,Belgium
ALE,PALE ALE,BELGIAN PALE ALE,A Little Crazy,Revolution,6.80%,22,Illinois
ALE,PALE ALE,BELGIAN PALE ALE,Palm Speciale,Brouwerij Palm,5.40%,18,Belgium
ALE,BELGIAN ALE,SAISON/FARMHOUSE ALE,Tank 7,Boulevard,8.50%,38,Missouri
ALE,BELGIAN ALE,SAISON/FARMHOUSE ALE,Pepe Nero,Goose Island,6.40%,30,Illinois
ALE,BELGIAN ALE,SAISON/FARMHOUSE ALE,Hennepin,Ommegang,7.70%,27,New York
ALE,BELGIAN ALE,BIERE DE GARDE,3 Monts Flanders Golden Ale,Brasserie de Saint-Sylvestre,8.50%,20,France
ALE,BELGIAN ALE,BIERE DE GARDE,Domaine DuPage French Style Country Ale,Two Brothers,5.90%,24,Illinois
ALE,BELGIAN ALE,BIERE DE GARDE,Oro de Calabaza,Jolly Pumpkin Artisan Ales,8%,28,Michigan
ALE,ALE,SOUR ALE,Monk's Cafe Flemish Sour Ale,Brouwerij van Steenberge,5.50%,25,Belgium
